Plate Barcode,Well Position,Batch Id,Concentration (mg/mL),Concentration (ug/mL),Concentration (mM),Concentration (uM),Volume (uL),Volume (nL),Solvent,Formula Weight,Molecular Weight
BR00148923,A01,,,,,,0.0,0,,,
BR00148923,A02,,,,,,0.04,40,DMSO,,
BR00148923,A03,BRD-K28687144-001-08-7,2.181006,2181.006,10.0,10000.0,0.04,40,DMSO,218.1006,217.998024468
BR00148923,A04,BRD-K34415467-003-14-8,4.24918,4249.18,10.0,10000.0,0.04,40,DMSO,424.918,388.199822016
BR00148923,A05,BRD-K35458079-001-35-6,1.741992,1741.992,10.0,10000.0,0.04,40,DMSO,174.1992,174.079312952
BR00148923,A06,BRD-K05446112-001-02-9,8.889999,8889.999,10.0,10000.0,0.04,40,DMSO,888.9999,888.41343791
BR00148923,A07,BRD-K79759585-048-12-9,6.667,6667.0,10.0,10000.0,0.04,40,DMSO,666.7,474.204924168
BR00148923,A08,BRD-K91544578-001-04-9,1.78231,1782.31,10.0,10000.0,0.04,40,DMSO,178.231,178.11061308
BR00148923,A09,BRD-K93869735-001-03-9,4.054084,4054.084,10.0,10000.0,0.04,40,DMSO,405.4084,405.176066881
BR00148923,A10,BRD-K50938287-036-19-9,4.13488,4134.88,10.0,10000.0,0.04,40,DMSO,413.488,295.135447621
BR00148923,A11,BRD-A33317514-001-01-3,0.890932,890.932,10.0,10000.0,0.04,40,DMSO,89.0932,89.047678473
BR00148923,A12,BRD-A22143024-231-03-8,4.36565,4365.65,10.0,10000.0,0.04,40,DMSO,436.565,350.118794504
BR00148923,A13,BRD-K09821361-066-24-1,6.5679,6567.9,10.0,10000.0,0.04,40,DMSO,656.79,560.353362542
BR00148923,A14,BRD-A44511856-001-01-4,7.850092,7850.092309,9.999948,9999.948166,0.04,40,DMSO,785.0133,784.49729239
BR00148923,A15,BRD-K94062100-001-04-3,4.957348,4957.348,10.0,10000.0,0.04,40,DMSO,495.7348,495.392373811
BR00148923,A16,BRD-K62858456-001-01-8,4.685355,4685.355,10.0,10000.0,0.04,40,DMSO,468.5355,468.222449246
BR00148923,A17,BRD-K06273313-001-07-9,3.574054,3574.054,10.0,10000.0,0.04,40,DMSO,357.4054,357.201218999
BR00148923,A18,BRD-A34145622-003-25-1,5.01314,5013.14,10.0,10000.0,0.04,40,DMSO,501.314,464.098643365
BR00148923,A19,BRD-A42383464-001-06-3,12.55417,12554.17,10.0,10000.0,0.04,40,DMSO,1255.417,1254.628474764
BR00148923,A20,BRD-A78723049-001-02-9,5.75619,5756.19,10.0,10000.0,0.04,40,DMSO,575.619,575.002143315
BR00148923,A21,BRD-K58262380-001-01-0,1.702487,1702.487,10.0,10000.0,0.04,40,DMSO,170.2487,170.13067982
BR00148923,A22,BRD-A99367815-001-04-9,4.58544,4585.44,10.0,10000.0,0.04,40,DMSO,458.544,458.230453442
BR00148923,A23,,,,,,0.0,0,,,
BR00148923,A24,,,,,,0.04,40,DMSO,,
BR00148923,B01,,,,,,0.0,0,,,
BR00148923,B02,,,,,,0.04,40,DMSO,,
BR00148923,B03,BRD-A80805100-001-01-9,8.118679,8118.679,10.0,10000.0,0.04,40,DMSO,811.8679,811.341520031
BR00148923,B04,BRD-K96786677-323-04-9,4.43449,4434.49,10.0,10000.0,0.04,40,DMSO,443.449,401.104541423
BR00148923,B05,BRD-K48963429-001-01-9,4.878002,4878.002,10.0,10000.0,0.04,40,DMSO,487.8002,487.7267096
BR00148923,B06,BRD-K01825844-001-01-9,1.552804,1552.804,10.0,10000.0,0.04,40,DMSO,155.2804,155.167399677
BR00148923,B07,BRD-A48465967-300-01-1,11.02183,11021.83,10.0,10000.0,0.04,40,DMSO,1102.183,1028.560955278
