entrez_id,gene_symbol,chromosome,start,end
6339,SCNN1D,1,1280436,1292029
2563,GABRD,1,2019305,2030758
5590,PRKCZ,1,2050396,2185721
765,CA6,1,8945867,8975092
5293,PIK3CD,1,9629889,9730119
5226,PGD,1,10398592,10420511
2475,MTOR,1,11106531,11262556
5351,PLOD1,1,11934205,11975542
9249,DHRS3,1,12563619,12620183
1187,CLCNKA,1,16018146,16034109
1188,CLCNKB,1,16040252,16057367
1969,EPHA2,1,16124337,16156141
6390,SDHB,1,17018664,17054210
11240,PADI2,1,17066761,17119459
29943,PADI1,1,17205120,17246007
51702,PADI3,1,17249093,17284233
23569,PADI4,1,17308195,17364004
353238,PADI6,1,17372196,17401699
80834,TAS1R2,1,18839599,18859660
3362,HTR6,1,19664837,19680966
30814,PLA2G2E,1,19920009,19923617
5320,PLA2G2A,1,19975431,19980462
249,ALPL,1,21508813,21579441
2046,EPHA8,1,22563461,22603595
2048,EPHB2,1,22710798,22921500
23028,KDM1A,1,23019395,23083704
3352,HTR1D,1,23190178,23217547
2582,GALE,1,23795599,23800804
1269,CNR2,1,23870515,23913396
378807,CATSPER4,1,26190561,26202968
6548,SLC9A1,1,27098809,27166981
2268,FGR,1,27611388,27635565
5724,PTAFR,1,28147166,28194083
4985,OPRD1,1,28812089,28871267
3932,LCK,1,32251244,32286170
3065,HDAC1,1,32291919,32333635
113451,AZIN2,1,33081104,33123492
2709,GJB5,1,34755013,34758512
127534,GJB4,1,34759740,34763724
2707,GJB3,1,34781175,34786369
2701,GJA4,1,34792992,34795756
5690,PSMB2,1,35599541,35641568
2899,GRIK3,1,36795527,37034533
284656,EPHA10,1,37713880,37765155
81025,GJA9,1,38874069,38881587
64064,OXCT2,1,39769523,39771348
9132,KCNQ4,1,40783675,40840457
1503,CTPS1,1,40979300,41056384
10465,PPIH,1,42658185,42676758
64175,P3H1,1,42746335,42767084
4352,MPL,1,43337808,43354466
6536,SLC6A9,1,43989353,44031767
10327,AKR1A1,1,45550475,45570051
2166,FAAH,1,46394265,46415754
51727,CMPK1,1,47333780,47409050
6512,SLC1A7,1,53087179,53142638
1733,DIO1,1,53891239,53911086
25973,PARS2,1,54756591,54764549
5563,PRKAA2,1,56645206,56715335
3725,JUN,1,58776845,58784048
1573,CYP2J2,1,59893291,59926828
3716,JAK1,1,64833223,65067754
5142,PDE4B,1,65792514,66374582
1491,CTH,1,70406194,70443519
5733,PTGER3,1,70852305,71047823
1429,CRYZ,1,74700529,74733128
5737,PTGFR,1,78303884,78540701
23576,DDAH1,1,85318481,85578363
1179,CLCA1,1,86468368,86501401
56267,CCBL2,1,88921037,88993002
2730,GCLM,1,93885199,93909654
1806,DPYD,1,97077743,97995000
1901,S1PR1,1,101235366,101243749
280,AMY2B,1,103553815,103579534
279,AMY2A,1,103617427,103625780
276,AMY1A,1,103650592,103664629
5686,PSMA5,1,109399042,109426471
1435,CSF1,1,109910242,109930993
3749,KCNC4,1,110210095,110283100
3744,KCNA10,1,110517217,110519175
3737,KCNA2,1,110519837,110631474
3738,KCNA3,1,110653560,110674940
140,ADORA3,1,111499429,111503854
3752,KCND3,1,111770662,111990131
476,ATP1A1,1,116372668,116410261
10352,WARS2,1,119029164,119140679
51179,HAO2,1,119368727,119394258
5565,PRKAB2,1,147155106,147173716
2702,GJA5,1,147755804,147773390
2703,GJA8,1,147902795,147909269
2209,FCGR1A,1,149734951,149792526
9900,SV2A,1,149903318,149918572
23632,CA14,1,150257069,150265078
4170,MCL1,1,150560895,150579738
1520,CTSS,1,150730079,150765957
1513,CTSK,1,150794880,150809577
5692,PSMB4,1,151399556,151401941
6097,RORC,1,151806021,151831845
6283,S100A12,1,153373703,153375660
6275,S100A4,1,153543613,153552135
6273,S100A2,1,153560950,153586676
6271,S100A1,1,153608923,153632044
6284,S100A13,1,153618612,153634442
4881,NPR1,1,153677965,153694110
1141,CHRNB2,1,154567771,154580013
3782,KCNN3,1,154697455,154870340
57657,HCN3,1,155277328,155289848
2224,FDPS,1,155304786,155320666
632,BGLAP,1,156242154,156243317
4914,NTRK1,1,156815636,156881850
3766,KCNJ10,1,159998651,160070483
477,ATP1A2,1,160115755,160143605
480,ATP1A4,1,160151586,160187593
9970,NR1I3,1,161228775,161238276
6391,SDHC,1,161314352,161363774
22926,ATF6,1,161766243,161977574
4921,DDR2,1,162630857,162787405
6258,RXRG,1,165400922,165445355
7371,UCK2,1,165827491,165911618
481,ATP1B1,1,169105697,169311254
10560,SLC19A2,1,169463539,169485988
55157,DARS2,1,173824540,173858808
462,SERPINC1,1,173903414,173917543
27,ABL2,1,179099330,179229684
6646,SOAT1,1,179293440,179358680
777,CACNA1E,1,181317690,181813262
2752,GLUL,1,182378098,182392206
4688,NCF2,1,183554461,183593499
5743,PTGS2,1,186671791,186680922
5321,PLA2G4A,1,186828949,186989902
779,CACNA1S,1,201039512,201112464
6051,RNPEP,1,201982372,202006175
134,ADORA1,1,203090654,203167407
5972,REN,1,204154815,204190324
553,AVPR1B,1,206106936,206117699
1604,CD55,1,207321171,207386804
3290,HSD11B1,1,209686174,209745624
3756,KCNH1,1,210676823,211134183
467,ATF3,1,212565334,212620777
3776,KCNK2,1,215005775,215237329
2104,ESRRG,1,216503246,217137755
2058,EPRS,1,219968598,220046669
29920,PYCR2,1,225914982,225924340
142,PARP1,1,226360210,226408154
57165,GJC2,1,228149891,228159826
58,ACTA1,1,229430365,229434789
54583,EGLN1,1,231359560,231422749
3775,KCNK1,1,233614021,233676655
9453,GGPS1,1,235327350,235344544
4548,MTR,1,236795260,236921278
